Datum,Modelltyp,Antal annonser,Medianpris (kr),Medelpris (kr),Median miltal,Median årsmodell
2026-08-11,GS,23,194900,195748,2053,2021.0
2026-08-11,GSA,49,194900,195010,2810,2021.0
2026-08-12,GS,24,197400,196125,2226,2021.0
2026-08-12,GSA,48,194950,195221,2680,2021.0
2026-08-13,GS,24,197400,195708,2002,2021.5
2026-08-13,GSA,47,189900,193696,2550,2021.0
2026-08-14,GS,24,197400,195708,2002,2021.5
2026-08-14,GSA,47,189900,193270,2810,2020.0
2026-08-15,GS,25,194900,194076,1950,2021.0
2026-08-15,GSA,48,194950,194369,2680,2020.5
